ID	GENE_SYMBOL
425	KCNS3
428	ARRB2
430	LOC388152
431	XLOC_l2_002423
432	ATP13A3
433	DYNLRB2
434	P06788
435	MARS2
436	ADCYAP1
437	ITGB2
438	XLOC_003211
440	MMP17
441	HABP2
442	XLOC_003093
443	HSPA1A
445	LOC100130430
446	LOC340340
447	PSMB7
448	CYP2S1
451	GCM2
452	XLOC_012457
453	RBM23
454	SLC22A7
455	COX5B
456	EBNA1BP2
457	CCL2
458	UROS
460	XLOC_000625
461	XLOC_007281
462	XLOC_011510
463	XLOC_007819
464	XLOC_009948
466	CMPK1
468	TNFRSF12A
469	XLOC_l2_000727
470	ZNF207
471	P4HB
472	IGFL2
473	SDR39U1
474	YWHAB
475	MEOX2
476	SCLY
477	Q7VLF4
478	XLOC_000545
479	SH3GL3
480	C1orf9
481	ZNF847P
482	ALG13
483	XLOC_001641
484	HIST1H2AG
485	XLOC_008221
486	IL25
487	APLN
488	LOC100507109
489	TXNDC5
490	XLOC_l2_014077
494	DHFR
495	MRPL30
496	TBC1D3
498	KIAA0040
499	NAT2
500	JPX
501	ATP6V1F
502	SYT12
503	ADAM29
504	XLOC_000055
505	XLOC_008989
506	GJD3
507	SUMO2
508	LDLR
510	LOC100507630
513	XLOC_012625
514	CD84
515	MOB1A
516	XLOC_l2_015578
517	RPA1
518	IL15RA
519	PVT1
520	TARBP1
521	XLOC_010135
522	XLOC_l2_012605
523	IPO13
524	CCL2
525	XLOC_011789
526	TCTN2
527	CXCL13
529	UPRT
530	Q59GX9
531	XLOC_010996
532	XLOC_001947
533	C6orf52
534	XLOC_l2_002729
535	LOC400499
536	C3orf55
537	RTP1
538	RPH3AL
539	ZNF444
540	1/2-SBSRNA4
543	LOC442421
544	PI15
545	SERTM1
546	CASP6
547	NUP210L
548	OBSCN
549	ABCB1
550	ZNRF2
551	ZC3H13
552	KANK1
553	LINC00347
554	ENTPD4
555	ALOX12P2
556	AMD1
557	CAP1
559	TRIM59
560	PTPN2
561	AK4
562	DGAT1
563	HSBP1
564	XLOC_008745
565	XLOC_005110
566	XLOC_002612
567	STXBP4
568	TCEB2
569	GDI2
570	FBXO18
571	XLOC_002217
572	RABEP2
573	LARP1
574	ACSM1
575	ZNF713
576	DLEU7
577	C12orf11
578	LOC390940
579	C6orf132
580	LYSMD4
581	LOC100507498
585	WDR74
586	XLOC_004023
587	SASH1
588	LOC388630
590	GP9
591	WDR82
592	XLOC_007835
593	NAB1
594	MGC23284
596	PTGS1
597	WFDC1
598	SLC10A1
599	TRIM36
600	WHSC1
601	XLOC_l2_000267
602	PSMD3
603	XLOC_002796
604	PPP2R2A
605	XLOC_001992
606	XLOC_l2_009180
607	SOS2
608	XLOC_011545
609	NCOA4
611	PIK3CG
612	XLOC_007438
613	XLOC_005433
614	ZNF331
615	XLOC_004426
616	KLRD1
617	EPB41
618	XLOC_011515
619	TNNT1
620	TMEM221
621	LOC339539
622	SUMF2
623	ERC1
624	FUT10
625	EIF4EBP2
626	XLOC_009100
627	C9orf47
628	BEST3
629	ABCD2
630	PKP4
632	XLOC_003679
635	SBDS
636	XLOC_000035
638	C8orf59
